,Compound,Flux_mean,Std,Flux_min,Flux_max
46,N-Acetyl-Glycine,-0.060546874443522934,0.0010559563918517642,-0.0616028308353747,-0.05949091805167117
47,N-Acetyl-Leucine,-0.08627236938098062,0.00033977443869388687,-0.08661214381967451,-0.08593259494228674
48,N-Acetyl-Methionine,0.4288838003808034,0.007070247670157975,0.42181355271064547,0.4359540480509614
49,N-Acetyl-Phenylalanine,-0.13360201346524367,0.0004643766986508009,-0.13406639016389446,-0.13313763676659288
50,Nicotinate,-0.031718180727224154,0.00042500768215991805,-0.03214318840938407,-0.03129317304506424
51,O-Phospho-L-Serine,-0.7712438896035515,0.04585608666205508,-0.8170999762656066,-0.7253878029414964
52,Ornithine,-4.224958397760823,0.06565680495657165,-4.290615202717395,-4.159301592804252
53,Orotate,0.2560518097475862,0.007499324051120616,0.24855248569646557,0.2635511337987068
54,Panthothenic acid,0.00799043909125364,0.0007033103215340203,0.00728712876971962,0.00869374941278766
55,Phenylalanine,4.559103942537843,0.4706035165623968,4.088500425975446,5.02970745910024
56,Proline,2.8635022826950363,2.134761265957878,0.7287410167371582,4.998263548652915
57,Pyridoxine,-0.011214834778215804,0.0004071219273071793,-0.011621956705522983,-0.010807712850908625
58,Rhamnose,-0.02606248724925943,0.001702628042929792,-0.027765115292189224,-0.02435985920632964
59,Riboflavin,0.08759762864489382,0.002698126014252447,0.08489950263064137,0.09029575465914626
60,Serine,-86.13304773024689,1.4372633281808305,-87.57031105842772,-84.69578440206605
61,Shikimate,-0.08672803684757337,0.00011504251940387383,-0.08684307936697724,-0.08661299432816949
62,Succinate,2.2954387694361222,0.03337231179179578,2.2620664576443263,2.328811081227918
63,Taurine,-0.3324669542773847,0.0005570344861689816,-0.3330239887635537,-0.3319099197912157
64,Threonine,-31.409623873020685,0.782687641460864,-32.192311514481545,-30.62693623155982
65,Thymidine,-0.006234160167509114,0.00022325892633320526,-0.006457419093842319,-0.006010901241175909
66,Thymine,0.11604798702306418,0.002551839030969433,0.11349614799209475,0.11859982605403362
67,Trehalose,-52.28820363342071,0.6198114426198399,-52.90801507604055,-51.668392190800866
68,Tryptophan,-0.08513755467358512,0.020832385062422392,-0.10596993973600752,-0.06430516961116273
69,Tyrosine,1.330315655482465,0.2836039670635016,1.0467116884189636,1.6139196225459667
70,Uracil,-0.03846568246342261,0.008461471579852437,-0.04692715404327504,-0.030004210883570172
71,Uric Acid,-0.37673580318284916,0.032939077795369566,-0.40967488097821875,-0.3437967253874796
72,Uridine,-0.1854388244052315,0.000304954403526658,-0.18574377880875814,-0.18513387000170484
73,Urocanate,0.0573474628197782,0.0021207475754583855,0.05522671524431981,0.05946821039523659
74,Valine,7.626790326597193,1.2915584694474993,6.335231857149694,8.918348796044691
75,Xanthine,-0.0664199092884702,0.00023449091250957987,-0.06665440020097979,-0.06618541837596062
76,Xanthosine,-0.005861806418455841,0.00014881060640162556,-0.006010617024857466,-0.005712995812054216
